Japanese, English
の,of
に,To
する,Make
は,It is
を,The
が,But
と,When
年,year
で,so
だ,I
月,month
も,Also
から,From
日,day
成る,Become
こと,thing
有る,Have
よる,According
や,Ya
など,Such
言う,To tell
日本,Japan
為,for
この,this
人,people
その,That
まで,Until
もの,thing
へ,What
又,also
これ,this
行う,Do
よう,Yo
出来る,Be able to
駅,station
国,country
より,Than
大学,the University
現在,right now
後,Rear
か,Or
線,line
ぬ,Unexpected
放送,broadcast
号,number
軍,military
無い,No
部,unit
持つ,To have
所,The
名,name
回,Times
世界,world
時,Time
戦,War
時代,era
東京,Tokyo
おく,deep
でも,But
呼ぶ,Call
その後,afterwards
会,meeting
それ,It
機,machine
会う,meet
受ける,receive
多い,Many
選手,player
場合,Case
対する,Against
しかし,However
つく,Get
昭和,Showa
作品,works
地,Ground
中,in
使用,use
共に,both
学校,school
語,language
彼,he
行く,go
アメリカ,America
当時,at that time
番組,program
車,car
社,Society
川,Plain
映画,movies
位,Place
見る,to see
テレビ,TV set
系,system
研究,the study
町,town
東,east
存在,exist
活動,activity
発売,Sale
他,he
出身,Graduate
年代,Decade
会社,the company
権,Authority
開発,development of
分,Minute
西,WEAT
鉄道,Railway
法,law
局,Office
更に,Furthermore
のみ,only
間,between
山,mountain
式,formula
島,island
なお,It should be noted
可能,may
ドイツ,Germany
代表,representative
使う,use
同じ,the same
曲,Tune
地域,area
作,Make
事,Thing
版,Version
取る,take
登場,Appearance
チーム,team
世,world
時間,time
於ける,on
中心,center
大会,General Assembly
多く,Many
南,south
シリーズ,series
賞,award
北,north
開始,begin
フランス,France
一部,part
始める,start
平成,Heisei
知る,know
子,child
ゲーム,game
道,Road
角,angle
用いる,Use
および,and
館,House
場,field
体,body
世紀,century
音楽,musics
参加,participate
発表,Announcement
記録,Record
掛ける,Multiply
高い,high
利用,Use
際,When
出場,Appearances
国際,international
リーグ,league
所属,Belongs
務める,serve
関係,Relation
考える,Think
イギリス,England
生まれる,to be born
入る,enter
度,degree
州,State
全て,all
明治,Meiji
生,Raw
点,point
力,force
良い,good
だけ,Only
王,king
試合,match
得る,obtain
優勝,Championship
都市,city
含む,Include
アルバム,album
込む,Writing
問題,problem
シーズン,Season
開催,Held
大阪,Osaka
位置,position
監督,Supervise
上,on
主,the Lord
設置,Set up
